country_code,country,province,city,population,latitude,longitude
AF,Afghanistan,Badghis,Qal eh-ye,2997,34.98300013,63.13329964
AF,Afghanistan,Ghor,Chaghcharan,15000,34.5167011,65.25000063
AF,Afghanistan,Hilmand,Lashkar Gah,201546,31.58299802,64.35999955
AF,Afghanistan,Nimroz,Zaranj,49851,31.11200108,61.88699752
AF,Afghanistan,Uruzgan,Tarin Kowt,10000,32.63329815,65.86669865
AF,Afghanistan,Paktika,Zareh Sharan,13737,32.85000016,68.41670453
AF,Afghanistan,Kunar,Asadabad,48400,34.86600004,71.15000459
AF,Afghanistan,Takhar,Taloqan,64256,36.72999904,69.54000364
AF,Afghanistan,Kapisa,Mahmud-E Eraqi,7407,35.01669608,69.33330065
AF,Afghanistan,Laghman,Mehtar Lam,17345,34.65000001,70.16670052
AF,Afghanistan,Logar,Baraki Barak,22305,33.9667021,68.96670354
AF,Afghanistan,Samangan,Aybak,24000,36.26100015,68.04000051
AF,Afghanistan,Wardak,Mayda Shahr,35008,34.45000209,68.79999663
AF,Afghanistan,Hirat,Karokh,14388.5,34.48676963,62.59177608
AF,Afghanistan,Jawzjan,Sheberghan,74441,36.65798077,65.73830237
AF,Afghanistan,Baghlan,Pol-e Khomri,41029,35.95107302,68.70111894
AF,Afghanistan,Balkh,Balkh,147426,36.75011985,66.89973018
AF,Afghanistan,Faryab,Meymaneh,199795,35.93022158,64.77009273
AF,Afghanistan,Faryab,Andkhvoy,50469,36.93165916,65.10149369
AF,Afghanistan,Zabul,Qalat,12191,32.11226341,66.8867594
AF,Afghanistan,Ghazni,Ghazni,129892.5,33.56331179,68.41782873
AF,Afghanistan,Badakhshan,Feyzabad,52490,37.12976076,70.57924719
AF,Afghanistan,Kunduz,Kondoz,210855.5,36.72795066,68.87252966
AF,Afghanistan,Nangarhar,Jalalabad,401697,34.44152692,70.43610347
AF,Afghanistan,Parwan,Charikar,53676,35.01826174,69.16791215
AF,Afghanistan,Paktya,Gardiz,82680.5,33.60005373,69.21462764
AF,Afghanistan,Bamyan,Bamian,61863,34.82106447,67.52103593
AF,Afghanistan,Baghlan,Baghlan,163598.5,36.13933026,68.69925858
AF,Afghanistan,Farah,Farah,58604,32.39172955,62.09681921
AF,Afghanistan,Hirat,Herat,439232.5,34.33000917,62.16999304
AF,Afghanistan,Balkh,Mazar-e Sharif,365432.5,36.69999371,67.10002803
AF,Afghanistan,Kandahar,Kandahar,613871,31.61002016,65.69494584
AF,Afghanistan,Kabul,Kabul,3160266,34.51669029,69.18326005
AX,Aland,Finström,Mariehamn,10682,60.09699618,19.94900447
AL,Albania,Durrës,Kruje,21286,41.51899817,19.79700359
AL,Albania,Fier,Fier,69747.5,40.73000402,19.5730026
AL,Albania,Fier,Lushnje,41469,40.94000113,19.71600348
AL,Albania,Shkodër,Puke,6495,42.03330302,19.88330448
AL,Albania,Kukës,Bajram Curri,7967,42.33330007,20.08330257
AL,Albania,Kukës,Kukes,17832,42.08300107,20.43399653
